name,ages,location,id,desc,detail_url,total_open,age_max_year,age_max_month,age_max_week,age_min_year,age_description,days_of_week,time_range_landing_page,date_range_start,date_range_end,date_range,number,time_range
Swim Colours 3 - Red,At least 6 but less than 15,Canterbury Rec Cplx,57336,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/57336,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,8:15 AM - 8:45 AM,2024-01-07,2024-03-03,7 January 2024 to 3 March 2024,62738,8:15 AM - 8:45 AM
Swim Colours 3 - Red,At least 6 but less than 15,Deborah Anne Kirwan Pool,56369,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/56369,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,9:30 AM - 10:00 AM,2024-01-13,2024-03-02,13 January 2024 to 2 March 2024,61771,9:30 AM - 10:00 AM
Swim Colours 3 - Red,At least 6 but less than 15,Canterbury Rec Cplx,56235,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/56235,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Tue,5:30 PM - 6:00 PM,2024-01-09,2024-03-05,9 January 2024 to 5 March 2024,61637,5:30 PM - 6:00 PM
Swim Colours 3 - Red,At least 6 but less than 15,Plant Rec Centre,56701,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/56701,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,10:30 AM - 11:00 AM,2024-01-14,2024-02-25,14 January 2024 to 25 February 2024,62103,10:30 AM - 11:00 AM
Swim Colours 3 - Red,At least 6 but less than 15,Plant Rec Centre,56702,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/56702,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Tue,5:00 PM - 5:30 PM,2024-01-09,2024-02-20,9 January 2024 to 20 February 2024,62104,5:00 PM - 5:30 PM
Swim Colours 3 - Red,At least 6 but less than 15,Plant Rec Centre,56703,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/56703,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Wed,6:30 PM - 7:00 PM,2024-01-10,2024-02-21,10 January 2024 to 21 February 2024,62105,6:30 PM - 7:00 PM
Swim Colours 3 - Red,At least 6 but less than 15,Plant Rec Centre,56698,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/56698,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,10:30 AM - 11:00 AM,2024-01-13,2024-02-24,13 January 2024 to 24 February 2024,62100,10:30 AM - 11:00 AM
Swim Colours 3 - Red,At least 6 but less than 15,Canterbury Rec Cplx,57762,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/57762,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,9:45 AM - 10:15 AM,2024-01-06,2024-03-02,6 January 2024 to 2 March 2024,63164,9:45 AM - 10:15 AM
Swim Colours 3 - Red,At least 6 but less than 15,CardelRec Cplx (Goulbourn),58176,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/58176,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,9:15 AM - 9:45 AM,2024-01-07,2024-03-03,7 January 2024 to 3 March 2024,63578,9:15 AM - 9:45 AM
Swim Colours 3 - Red,At least 6 but less than 15,CardelRec Cplx (Goulbourn),58177,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/58177,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,6:15 PM - 6:45 PM,2024-01-07,2024-03-03,7 January 2024 to 3 March 2024,63579,6:15 PM - 6:45 PM
Swim Colours 3 - Red,At least 6 but less than 15,CardelRec Cplx (Goulbourn),58178,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/58178,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Tue,6:45 PM - 7:15 PM,2024-01-09,2024-03-05,9 January 2024 to 5 March 2024,63580,6:45 PM - 7:15 PM
Swim Colours 3 - Red,At least 6 but less than 15,CardelRec Cplx (Goulbourn),58173,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/58173,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,9:00 AM - 9:30 AM,2024-01-06,2024-03-02,6 January 2024 to 2 March 2024,63575,9:00 AM - 9:30 AM
Swim Colours 3 - Red,At least 6 but less than 15,St-Laurent Cplx,54320,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/54320,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,6:30 PM - 7:00 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,59722,6:30 PM - 7:00 PM
Swim Colours 3 - Red,At least 6 but less than 15,Splash Wave Pool,54169,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/54169,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,7:15 PM - 7:45 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,59571,7:15 PM - 7:45 PM
Swim Colours 3 - Red,At least 6 but less than 15,Splash Wave Pool,54176,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/54176,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Wed,5:30 PM - 6:00 PM,2024-01-10,2024-03-06,10 January 2024 to 6 March 2024,59578,5:30 PM - 6:00 PM
Swim Colours 3 - Red,At least 6 but less than 15,Splash Wave Pool,54173,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/54173,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,6:00 PM - 6:30 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,59575,6:00 PM - 6:30 PM
Swim Colours 3 - Red,At least 6 but less than 15,Splash Wave Pool,54181,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/54181,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Fri,5:45 PM - 6:15 PM,2024-01-12,2024-03-08,12 January 2024 to 8 March 2024,59583,5:45 PM - 6:15 PM
Swim Colours 3 - Red,At least 6 but less than 15,Splash Wave Pool,54183,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/54183,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,10:00 AM - 10:30 AM,2024-01-13,2024-03-09,13 January 2024 to 9 March 2024,59585,10:00 AM - 10:30 AM
Swim Colours 3 - Red,At least 6 but less than 15,Splash Wave Pool,54185,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/54185,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,9:00 AM - 9:30 AM,2024-01-14,2024-03-10,14 January 2024 to 10 March 2024,59587,9:00 AM - 9:30 AM
Swim Colours 3 - Red,At least 6 but less than 15,Canterbury Rec Cplx,53978,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/53978,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Tue,4:30 PM - 5:00 PM,2024-01-09,2024-03-05,9 January 2024 to 5 March 2024,59380,4:30 PM - 5:00 PM
Swim Colours 3 - Red,At least 6 but less than 15,CardelRec Cplx (Goulbourn),53119,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red/53119,6,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,7:00 PM - 7:30 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,58521,7:00 PM - 7:30 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,CardelRec Cplx (Goulbourn),53120,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/53120,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,7:45 PM - 8:15 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,58522,7:45 PM - 8:15 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Canterbury Rec Cplx,54022,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/54022,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Tue,7:00 PM - 7:30 PM,2024-01-09,2024-03-05,9 January 2024 to 5 March 2024,59424,7:00 PM - 7:30 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Splash Wave Pool,54194,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/54194,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,11:15 AM - 11:45 AM,2024-01-13,2024-03-09,13 January 2024 to 9 March 2024,59596,11:15 AM - 11:45 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Splash Wave Pool,54192,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/54192,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Wed,6:15 PM - 6:45 PM,2024-01-10,2024-03-06,10 January 2024 to 6 March 2024,59594,6:15 PM - 6:45 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Splash Wave Pool,54189,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/54189,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,7:45 PM - 8:15 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,59591,7:45 PM - 8:15 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Splash Wave Pool,54196,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/54196,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,10:45 AM - 11:15 AM,2024-01-14,2024-03-10,14 January 2024 to 10 March 2024,59598,10:45 AM - 11:15 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,CardelRec Cplx (Goulbourn),58182,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/58182,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,11:30 AM - Noon,2024-01-07,2024-03-03,7 January 2024 to 3 March 2024,63584,11:30 AM - Noon
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,CardelRec Cplx (Goulbourn),58183,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/58183,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,4:00 PM - 4:30 PM,2024-01-07,2024-03-03,7 January 2024 to 3 March 2024,63585,4:00 PM - 4:30 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,CardelRec Cplx (Goulbourn),58188,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/58188,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Thu,7:15 PM - 7:45 PM,2024-01-11,2024-03-07,11 January 2024 to 7 March 2024,63590,7:15 PM - 7:45 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,CardelRec Cplx (Goulbourn),58191,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/58191,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Tue,6:15 PM - 6:45 PM,2024-01-09,2024-03-05,9 January 2024 to 5 March 2024,63593,6:15 PM - 6:45 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,CardelRec Cplx (Goulbourn),58193,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/58193,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Wed,7:45 PM - 8:15 PM,2024-01-10,2024-03-06,10 January 2024 to 6 March 2024,63595,7:45 PM - 8:15 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Plant Rec Centre,56704,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/56704,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,5:30 PM - 6:00 PM,2024-01-08,2024-02-19,8 January 2024 to 19 February 2024,62106,5:30 PM - 6:00 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Plant Rec Centre,56705,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/56705,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,4:30 PM - 5:00 PM,2024-01-13,2024-02-24,13 January 2024 to 24 February 2024,62107,4:30 PM - 5:00 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Plant Rec Centre,56706,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/56706,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,9:30 AM - 10:00 AM,2024-01-14,2024-02-25,14 January 2024 to 25 February 2024,62108,9:30 AM - 10:00 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Deborah Anne Kirwan Pool,56370,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/56370,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,6:00 PM - 6:30 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,61772,6:00 PM - 6:30 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Canterbury Rec Cplx,57322,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/57322,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Thu,5:45 PM - 6:15 PM,2024-01-11,2024-03-07,11 January 2024 to 7 March 2024,62724,5:45 PM - 6:15 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Canterbury Rec Cplx,57355,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/57355,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,10:15 AM - 10:45 AM,2024-01-07,2024-03-03,7 January 2024 to 3 March 2024,62757,10:15 AM - 10:45 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,François Dupuis Rec Centre,62910,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/62910,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,10:30 AM - 11:00 AM,2024-01-13,2024-03-23,13 January 2024 to 23 March 2024,68312,10:30 AM - 11:00 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,François Dupuis Rec Centre,63613,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/63613,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,9:00 AM - 9:30 AM,2024-01-14,2024-03-24,14 January 2024 to 24 March 2024,69015,9:00 AM - 9:30 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Pinecrest Rec Cplx,62396,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/62396,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,2:15 PM - 2:45 PM,2024-01-14,2024-03-03,14 January 2024 to 3 March 2024,67798,2:15 PM - 2:45 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Pinecrest Rec Cplx,62399,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/62399,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Thu,6:30 PM - 7:00 PM,2024-01-11,2024-03-07,11 January 2024 to 7 March 2024,67801,6:30 PM - 7:00 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Brewer Pool,61188,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/61188,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Wed,7:00 PM - 7:30 PM,2024-01-10,2024-03-06,10 January 2024 to 6 March 2024,66590,7:00 PM - 7:30 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Plant Rec Centre,60973,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/60973,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,5:30 PM - 6:00 PM,2024-02-26,2024-04-22,26 February 2024 to 22 April 2024,66375,5:30 PM - 6:00 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Plant Rec Centre,60974,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/60974,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,4:30 PM - 5:00 PM,2024-03-02,2024-04-20,2 March 2024 to 20 April 2024,66376,4:30 PM - 5:00 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Plant Rec Centre,60975,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/60975,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,9:30 AM - 10:00 AM,2024-03-03,2024-04-21,3 March 2024 to 21 April 2024,66377,9:30 AM - 10:00 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,François Dupuis Rec Centre,59325,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/59325,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Tue,4:00 PM - 4:30 PM,2024-01-09,2024-03-26,9 January 2024 to 26 March 2024,64727,4:00 PM - 4:30 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Canterbury Rec Cplx,59384,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/59384,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,8:15 AM - 8:45 AM,2024-01-06,2024-03-02,6 January 2024 to 2 March 2024,64786,8:15 AM - 8:45 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Canterbury Rec Cplx,85511,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/85511,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sun,8:45 AM - 9:15 AM,2024-01-07,2024-03-03,7 January 2024 to 3 March 2024,90918,8:45 AM - 9:15 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Splash Wave Pool,85374,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/85374,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,9:00 AM - 9:30 AM,2024-01-13,2024-03-09,13 January 2024 to 9 March 2024,90781,9:00 AM - 9:30 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,CardelRec Cplx (Goulbourn),70670,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/70670,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Tue,7:15 PM - 7:45 PM,2024-01-09,2024-03-05,9 January 2024 to 5 March 2024,76077,7:15 PM - 7:45 PM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,François Dupuis Rec Centre,68472,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/68472,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Sat,8:30 AM - 9:00 AM,2024-01-13,2024-03-23,13 January 2024 to 23 March 2024,73879,8:30 AM - 9:00 AM
Swim Colours 3 - Red (low ratio),At least 6 but less than 15,Deborah Anne Kirwan Pool,64578,"Your child will start to learn the progression to front crawl, jump into deep water, and practice increasing distance on front and back glides with kick. Upon completion of this level, your child will be able to complete a distance swim of at least 25 metres.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/swim-colours-3---red-low-ratio/64578,3,15,0,0,6,"Age at least 6 yrs but less than 15 yrs,",Mon,7:00 PM - 7:30 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,69980,7:00 PM - 7:30 PM
